gap_id,filled,east,tier,gbm_prob,area_m2,height_m,imperv_frac,dist_road,neigh_completeness,fill_ratio
78,False,True,3,0.8934,183.5,8.6,0.9519,12.5793,0.3684,0.8557
79,False,True,3,0.9799,177.2,11.5,0.6006,7.3086,0.3243,0.6198
80,False,True,3,0.0752,106.0,5.0,0.9423,10.8014,0.375,0.7647
81,False,True,3,0.7996,130.2,7.2,0.9919,4.7064,0.3333,0.7011
82,True,True,3,0.0776,89.5,8.4,1.0,5.7219,0.4375,0.8012
83,True,True,3,0.9902,403.0,6.7,0.9975,2.8403,0.3889,0.5788
84,False,True,3,0.7322,119.8,7.5,0.8072,3.107,0.3704,0.5354
85,True,True,3,0.9867,138.0,7.0,1.0,5.299,0.4848,0.8115
86,True,True,3,0.0873,121.2,4.6,0.9145,2.9573,0.5172,0.7439
87,True,True,3,0.9401,390.8,10.2,1.0,1.8875,0.6,0.8528
88,False,True,3,0.9603,222.5,7.8,0.9978,3.9561,0.4,0.6572
89,False,True,3,0.7782,132.5,6.2,1.0,4.2058,0.2286,0.7713
90,False,True,3,0.7742,119.8,6.3,1.0,7.1713,0.2121,0.8614
91,False,True,3,0.973,200.5,8.2,1.0,4.1508,0.2222,0.6897
92,False,True,3,0.9837,236.5,7.9,0.6276,0.0,0.2162,0.5284
93,False,True,3,0.096,99.5,4.8,0.7766,3.428,0.0968,0.8271
94,False,True,1,0.1739,57.8,3.4,1.0,18.3702,0.0938,0.8502
95,False,True,1,0.0067,43.8,3.3,1.0,12.9449,0.1471,0.7935
96,False,True,3,0.9782,148.0,5.7,1.0,3.0951,0.0625,0.8686
97,False,True,3,0.9934,148.0,5.1,1.0,4.5654,0.0645,0.8959
98,False,True,2,0.5297,195.0,3.5,0.9476,3.4239,0.1515,0.8382
99,True,False,3,0.9928,1922.5,18.2,1.0,0.0,0.25,0.6547
100,False,True,3,0.9334,360.2,8.0,0.7497,3.5724,0.0909,0.8299
101,False,True,2,0.436,110.2,13.5,0.2788,12.7286,0.0645,0.8407
102,False,True,2,0.7664,153.0,3.1,0.8515,15.7506,0.125,0.7285
103,False,True,3,0.6724,124.8,16.6,0.5958,8.5334,0.1333,0.8333
104,False,False,1,0.0335,45.5,3.5,1.0,0.0,0.0,0.7646
105,True,True,3,0.9915,243.8,10.5,0.9474,26.7061,0.1111,0.7773
106,False,True,1,0.3485,66.8,14.9,0.0,24.516,0.1333,0.901
107,True,True,3,0.9771,329.8,8.2,0.8457,8.9521,0.0833,0.6756
108,True,True,3,0.9708,169.8,8.8,0.9525,7.3261,0.1176,0.7715
109,True,True,3,0.9828,357.0,7.8,0.9944,6.1972,0.0833,0.789
110,False,True,3,0.9959,358.8,9.2,1.0,0.091,0.0625,0.948
111,False,True,3,0.9924,354.2,9.2,0.9709,10.6937,0.0,0.9402
112,False,True,3,0.9941,606.8,11.2,0.9858,6.9344,0.1562,0.7126
113,True,True,3,0.9907,160.0,8.2,0.9934,4.9377,0.4167,0.9167
114,False,True,2,0.9693,90.5,14.2,0.4811,20.2005,0.5,0.9449
115,False,True,3,0.9503,1016.2,9.5,0.9088,10.255,0.6875,0.6925
116,True,False,3,0.9981,1586.5,18.4,1.0,1.1864,0.3333,0.8966
117,True,True,3,0.9826,340.2,4.4,1.0,3.9484,0.6154,0.6783
118,True,True,3,0.9812,136.8,8.2,0.8913,6.4885,0.1111,0.8209
119,True,True,3,0.9905,178.8,5.8,0.9385,6.2997,0.15,0.826
120,True,True,3,0.9936,214.0,9.7,1.0,5.4729,0.1304,0.783
121,False,True,3,0.9953,177.5,11.3,1.0,5.3081,0.069,0.7988
122,False,True,3,0.8117,962.0,9.9,0.999,4.2431,0.75,0.7997
123,False,True,3,0.9567,158.0,8.1,1.0,13.183,0.5833,0.8088
124,False,True,3,0.9977,406.5,11.4,0.9889,0.0,0.0968,0.8871
125,False,True,3,0.6632,428.5,10.7,0.9817,3.7952,0.0769,0.8035
126,False,True,3,0.9269,89.8,4.4,1.0,49.3735,0.4545,0.8885
127,False,True,3,0.9835,693.5,5.2,0.896,0.1625,0.5455,0.6338
128,True,True,3,0.1872,133.5,4.6,1.0,5.4505,0.7,0.8422
129,False,True,3,0.9651,775.8,8.8,0.9126,2.1289,0.4,0.596
130,False,True,3,0.9723,161.2,9.2,0.9937,13.5023,0.1,0.7793
131,False,True,3,0.9898,174.8,7.4,1.0,2.1556,0.1071,0.8078
