GEOID,CTYNAME,POPESTIMATE2019,pct_recent,median_edit_year,staleness,exposure,priority
17029,Coles County,50621,20.528683914510687,2012.0,0.7947131608548932,0.35855566599316196,0.2849
17203,Woodford County,38459,11.186617877679035,2013.0,0.8881338212232096,0.32042592665779007,0.2846
17081,Jefferson County,37684,10.653570079335095,2013.0,0.893464299206649,0.3176010123771051,0.2838
17057,Fulton County,34340,7.019400352733686,2013.0,0.9298059964726632,0.3047060540380201,0.2833
17011,Bureau County,32628,5.111940298507463,2013.0,0.9488805970149253,0.29760946549672335,0.2824
17157,Randolph County,31782,5.375494071146245,2013.0,0.9462450592885375,0.2939639361561483,0.2782
17049,Effingham County,34008,8.659981768459435,2013.0,0.9134001823154057,0.3033579163606085,0.2771
17093,Kendall County,128990,43.58490566037736,2015.0,0.5641509433962264,0.4883546349953124,0.2755
17027,Clinton County,37562,13.247172859450728,2013.0,0.8675282714054927,0.3171510301605294,0.2751
17121,Marion County,37205,13.645287958115182,2013.0,0.8635471204188482,0.3158258341516451,0.2727
17133,Monroe County,34637,12.140762463343108,2013.0,0.878592375366569,0.3059010691274462,0.2688
17075,Iroquois County,27114,2.212223472065992,2013.0,0.9778777652793401,0.27192069325653795,0.2659
17137,Morgan County,33658,12.045646661031276,2013.0,0.8795435333896873,0.301922360915662,0.2656
17135,Montgomery County,28414,8.75507942371629,2013.0,0.9124492057628371,0.2784194344745165,0.254
17107,Logan County,28618,13.085399449035812,2013.0,0.8691460055096418,0.2794121663701125,0.2428
17021,Christian County,32304,18.291592128801433,2013.0,0.8170840787119856,0.29622459745789037,0.242
17165,Saline County,23491,4.034229828850855,2013.0,0.9596577017114915,0.25201684137526503,0.2418
17051,Fayette County,21336,2.1262234222072225,2012.0,0.9787377657779278,0.23866438844025117,0.2336
17105,Livingston County,35648,25.81235697940503,2013.0,0.7418764302059497,0.30989349645648007,0.2299
17085,Jo Daviess County,21235,3.678357570573139,2013.0,0.9632164242942686,0.2380059322356416,0.2293
17145,Perry County,20916,5.574439157036029,2013.0,0.9442556084296397,0.23590549528388963,0.2228
17083,Jersey County,21773,8.213256484149856,2013.0,0.9178674351585014,0.2414778884617295,0.2216
17067,Hancock County,17708,1.0971149939049167,2013.0,0.9890288500609509,0.2128009553010034,0.2105
17045,Edgar County,17161,0.8849557522123894,2008.0,0.9911504424778761,0.20844681899380935,0.2066
17041,Douglas County,19465,11.57556270096463,2013.0,0.8842443729903537,0.2259285883760819,0.1998
17191,Wayne County,16215,1.020408163265306,2008.0,0.9897959183673469,0.20057832265560216,0.1985
17033,Crawford County,18667,9.861751152073731,2012.0,0.9013824884792627,0.22011966996341695,0.1984
17109,McDonough County,29682,30.60453400503778,2013.0,0.6939546599496222,0.2844778709113912,0.1974
17173,Shelby County,21634,19.15820029027576,2013.0,0.8084179970972424,0.2405891477579358,0.1945
17005,Bond County,16426,4.216073781291173,2013.0,0.9578392621870883,0.2023724100999257,0.1938
17101,Lawrence County,15678,1.6590389016018303,2008.0,0.9834096109839817,0.195904862796583,0.1927
17159,Richland County,15513,1.2908777969018932,2013.0,0.9870912220309811,0.19443668972458647,0.1919
17181,Union County,16653,6.342364532019705,2012.0,0.9365763546798029,0.20427698852427867,0.1913
17023,Clark County,15441,2.9986962190352022,2012.0,0.970013037809648,0.1937911320342805,0.188
17131,Mercer County,15437,3.066989507667474,2013.0,0.9693301049233253,0.1937551795099745,0.1878
17187,Warren County,16844,8.900083963056256,2013.0,0.9109991603694374,0.20585951403051345,0.1875
17147,Piatt County,16344,7.996702390766694,2013.0,0.920032976092333,0.2016779346862795,0.1856
17149,Pike County,15561,6.737443854634545,2012.0,0.9326255614536545,0.19486539909793232,0.1817
17015,Carroll County,14305,3.187803187803188,2013.0,0.9681219681219682,0.1831868911352102,0.1773
17039,De Witt County,15638,10.344827586206897,2013.0,0.896551724137931,0.19555036584836408,0.1753
17193,White County,13537,0.6515342580916352,2008.0,0.9934846574190836,0.17552934653543004,0.1744
17189,Washington County,13887,4.164115125535823,2012.0,0.9583588487446417,0.17907159795577487,0.1716
17139,Moultrie County,14501,7.633587786259542,2013.0,0.9236641221374046,0.1850753101940416,0.1709
17025,Clay County,13184,1.6528925619834711,2012.0,0.9834710743801653,0.17186272721753182,0.169
17125,Mason County,13359,3.0642309958750737,2012.0,0.9693576900412493,0.1736925662702705,0.1684
