GEOID,n_segments,total_km,pct_maxspeed,pct_surface,pct_ref,pct_name,median_edit_year,pct_recent,NAME,aland_km2,CTYNAME,POPESTIMATE2019,pop_density,road_density,km_per_1k,urban
17047,857,837.1818515033125,0.11668611435239205,0.0,2.6837806301050176,61.61026837806302,2012.0,1.0501750291715286,Edwards County,576.012469,Edwards County,6395,11.10219022012178,1.453409251637767,130.9119392499316,False
17049,2194,1945.8812057634595,0.7748404740200547,0.5925250683682771,3.4184138559708295,74.88605287146764,2013.0,8.659981768459435,Effingham County,1240.007567,Effingham County,34008,27.425639088862106,1.569249460687734,57.21833703138848,False
17051,2963,2559.44768427256,0.0,0.7087411407357408,3.341208234897064,52.8518393520081,2012.0,2.1262234222072225,Fayette County,1855.56716,Fayette County,21336,11.498371204198289,1.3793344371715222,119.95911531086239,False
17053,928,1194.8880180065387,0.0,0.9698275862068966,7.219827586206897,66.70258620689656,2012.0,2.1551724137931036,Ford County,1257.690128,Ford County,12961,10.30540012316929,0.9500655140759272,92.19103603167493,False
17055,2668,2032.2522957907072,0.0,0.8245877061469266,4.010494752623688,82.6086956521739,2013.0,9.820089955022489,Franklin County,1059.10159,Franklin County,38469,36.32229463464407,1.9188454771281263,52.82831099822473,False
17057,2835,2833.8923796543604,0.0,0.49382716049382713,5.784832451499118,77.49559082892416,2013.0,7.019400352733686,Fulton County,2242.134871,Fulton County,34340,15.315760190948833,1.2639259200274755,82.52453056652185,False
17059,846,884.2703463704829,0.0,0.0,4.964539007092199,63.00236406619385,2012.0,3.309692671394799,Gallatin County,836.540704,Gallatin County,4828,5.771386827818961,1.0570559712662624,183.15458706927978,False
17061,1583,1541.637436958513,0.0,0.2526847757422615,2.9690461149715732,63.360707517372084,2012.0,1.2002526847757422,Greene County,1406.464906,Greene County,12969,9.22099082932966,1.0961080012603692,118.87095666269667,False
17063,4239,1805.114009557861,0.11795234725171032,0.28308563340410475,1.863647086577023,36.21137060627507,2008.0,4.718093890068412,Grundy County,1082.940535,Grundy County,51054,47.14386279760043,1.6668634622286633,35.35695556778824,False
17065,1055,1287.9190107419768,0.0,0.9478672985781991,2.4644549763033177,79.90521327014218,2012.0,4.739336492890995,Hamilton County,1125.731579,Hamilton County,8116,7.2095339167881685,1.1440729164638428,158.68888747436876,False
17067,2461,2681.2668527965056,0.08126777732629012,0.731409995936611,3.900853311661926,74.31938236489232,2013.0,1.0971149939049167,Hancock County,2055.798692,Hancock County,17708,8.613683853827455,1.3042458209699581,151.41556656858515,False
17069,429,405.86738068148327,1.3986013986013985,0.4662004662004662,3.263403263403263,52.44755244755245,2013.0,6.526806526806526,Hardin County,459.435085,Hardin County,3821,8.316735322902037,0.8834052816873645,106.22019907916338,False
17071,1077,1284.6943928454455,0.0,0.5571030640668524,3.5283194057567315,71.49489322191272,2013.0,0.7428040854224698,Henderson County,981.077355,Henderson County,6646,6.774185507523002,1.3094730872118086,193.3033994651588,False
17073,2394,2696.6976221513683,0.37593984962406013,0.7936507936507936,6.098579782790309,86.34085213032581,2013.0,10.73517126148705,Henry County,2131.698418,Henry County,48913,22.94555345492591,1.2650464997208477,55.132533726235735,False
17075,2667,3703.396050178867,0.0,0.3749531308586427,5.549306336707911,81.7397825271841,2013.0,2.212223472065992,Iroquois County,2894.039691,Iroquois County,27114,9.368910897912077,1.279663185579602,136.58611972334833,False
17077,4828,2521.2592331705478,0.35211267605633806,0.8077879038939519,1.2634631317315659,55.3645401822701,2012.0,13.04888152444076,Jackson County,1511.43961,Jackson County,56750,37.5469847584582,1.6681177444929791,44.42747547437089,False
17079,1487,1657.3303908348812,0.06724949562878278,0.0,0.605245460659045,50.302622730329524,2012.0,4.640215198386012,Jasper County,1281.043656,Jasper County,9610,7.501695945325379,1.2937345133184759,172.45893765191272,False
17081,2647,2298.27233609905,0.07555723460521345,3.0978466188137515,2.8333962976955043,79.37287495277673,2013.0,10.653570079335097,Jefferson County,1479.412106,Jefferson County,37684,25.47228040595742,1.5535038051791161,60.988014438463274,False
17083,1388,1110.7734953728568,0.6484149855907781,1.2968299711815563,5.403458213256484,71.25360230547551,2013.0,8.213256484149856,Jersey County,957.415147,Jersey County,21773,22.74144091852351,1.1601795718956354,51.01609770692403,False
17085,2338,2032.1271898939856,2.0102651839178787,1.0265183917878529,3.4644995722840037,76.04790419161677,2013.0,3.6783575705731395,Jo Daviess County,1556.385345,Jo Daviess County,21235,13.643793337054328,1.3056709872155636,95.69706568843822,False
17087,1130,943.1869047253487,0.7964601769911505,0.7079646017699115,2.1238938053097343,71.32743362831859,2013.0,13.539823008849558,Johnson County,890.268816,Johnson County,12417,13.947472692337906,1.0594405732002508,75.9593222779535,False
17089,10990,4846.086927802874,5.131938125568699,3.148316651501365,7.479526842584168,94.22202001819836,2014.0,37.297543221110104,Kane County,1345.136016,Kane County,532403,395.7986357269613,3.6026742798944387,9.102290798141397,True
17091,3082,2649.5867685013086,0.0973393900064893,0.32446463335496434,10.772225827384815,93.38092147955874,2013.0,15.574302401038286,Kankakee County,1752.114613,Kankakee County,109862,62.70251910740728,1.5122222877672606,24.117408826539737,False
17093,3180,1696.4608512803304,1.257861635220126,0.7547169811320755,3.30188679245283,88.36477987421384,2015.0,43.58490566037736,Kendall County,829.412768,Kendall County,128990,155.51967003237644,2.0453758571514182,13.15187883774192,True
17095,2192,2344.876321847383,0.0,0.45620437956204374,7.2992700729927,93.65875912408758,2013.0,8.987226277372262,Knox County,1855.427715,Knox County,49699,26.78573764863699,1.2637928726031686,47.181559424684266,False
17097,16913,5817.759884327138,4.221604682788388,2.820315733459469,4.37533258440253,90.69946195234435,2013.0,27.198013362502216,Lake County,1149.695575,Lake County,696535,605.8429858704119,5.060261177683612,8.352430077924495,True
